Date,Surface,Court,Team1,Odd1,Rank1,Pts1,Weight1,Height1,Hand1,Team2,Odd2,Rank2,Pts2,Weight2,Height2,Hand2,Winner
2022-01-18,1,1,Rublev A.,1.04,6.0,4785.0,68.0,188.0,1,Mager G.,12.31,65.0,957.0,81.0,96.0,1,1
2022-01-18,1,1,Thompson J.,1.82,73.0,860.0,73.0,183.0,1,Johnson S.,1.99,104.0,724.0,86.0,188.0,1,2
2022-01-18,1,1,Sousa J.,13.85,140.0,500.0,74.0,185.0,1,Sinner J.,1.03,10.0,3390.0,76.0,188.0,1,2
2022-01-18,1,1,Monteiro T.,1.34,79.0,824.0,78.0,183.0,2,Paire B.,3.25,56.0,1075.0,80.0,196.0,1,2
2022-01-18,1,1,Isner J.,1.92,25.0,1881.0,108.0,208.0,1,Cressy M.,1.88,70.0,875.0,91.0,198.0,1,2
2022-01-18,1,1,Laaksonen H.,19.82,91.0,781.0,78.0,185.0,1,Medvedev D.,1.01,2.0,8935.0,81.0,198.0,1,2
2022-01-18,1,1,Basilashvili N.,2.6,23.0,2051.0,79.0,185.0,1,Murray A.,1.5,113.0,671.0,84.0,191.0,1,2
2022-01-18,1,1,Ruusuvuori E.,3.57,90.0,783.0,79.0,188.0,1,Auger-Aliassime F.,1.29,9.0,3608.0,84.0,188.0,1,2
2022-01-18,1,1,Machac T.,1.15,132.0,555.0,74.0,183.0,1,Cerundolo J.M.,5.43,80.0,818.0,71.0,183.0,2,1
2022-01-18,1,1,Daniel T.,1.34,120.0,606.0,76.0,191.0,1,Barrios M.,3.3,147.0,458.0,88.0,191.0,1,1
2022-01-18,1,1,Safiullin R.,2.32,149.0,455.0,75.0,185.0,1,Molcan A.,1.6,74.0,839.0,73.0,178.0,1,2
2022-01-18,1,1,Dzumhur D.,1.67,161.0,429.0,70.0,175.0,1,Andujar P.,2.21,83.0,800.0,76.0,180.0,1,2
2022-01-18,1,1,Goffin D.,4.14,45.0,1216.0,68.0,180.0,1,Evans D.,1.23,24.0,1957.0,75.0,175.0,1,2
2022-01-18,1,1,Fritz T.,1.12,22.0,2175.0,84.0,193.0,1,Marterer M.,6.2,228.0,279.0,84.0,191.0,2,1
2022-01-18,1,1,Davidovich Fokina A.,1.25,50.0,1160.0,80.0,183.0,1,Bolt A.,3.92,152.0,451.0,84.0,183.0,2,1
2022-01-18,1,1,Baez S.,1.52,88.0,791.0,70.0,70.0,1,Ramos-Vinolas A.,2.53,44.0,1259.0,80.0,188.0,2,1
2022-01-18,1,1,Tiafoe F.,1.13,34.0,1467.0,77.0,188.0,1,Trungelliti M.,5.93,198.0,326.0,78.0,180.0,1,1
2022-01-18,1,1,Popyrin A.,2.16,59.0,1010.0,78.0,196.0,1,Rinderknech A.,1.7,48.0,1178.0,86.0,196.0,1,2
2022-01-18,1,1,Seppi A.,2.26,101.0,736.0,75.0,191.0,1,Majchrzak K.,1.64,107.0,708.0,78.0,180.0,1,2
2022-01-18,1,1,De Minaur A.,1.15,42.0,1316.0,69.0,180.0,1,Musetti L.,5.37,60.0,1004.0,78.0,185.0,1,1
2022-01-18,1,1,Kyrgios N.,1.49,115.0,648.0,85.0,193.0,1,Broady L.,2.61,128.0,569.0,78.0,183.0,2,1
2022-01-18,1,1,Ymer M.,5.06,86.0,793.0,75.0,183.0,1,Tsitsipas S.,1.17,4.0,6540.0,83.0,193.0,1,2
2022-01-19,1,1,Otte O.,2.88,96.0,748.0,79.0,183.0,1,Sonego L.,1.42,26.0,1860.0,76.0,191.0,1,2
2022-01-19,1,1,Paul T.,1.41,41.0,1317.0,78.0,185.0,1,Kecmanovic M.,2.9,77.0,836.0,75.0,183.0,1,2
2022-01-19,1,1,Carreno Busta P.,1.4,21.0,2305.0,78.0,188.0,1,Griekspoor T.,2.96,62.0,1001.0,85.0,188.0,1,1
2022-01-19,1,1,Koepfer D.,3.37,53.0,1096.0,79.0,180.0,2,Opelka R.,1.32,29.0,1776.0,100.0,211.0,1,2
2022-01-19,1,1,Moutet C.,3.35,100.0,737.0,71.0,175.0,2,Korda S.,1.33,43.0,1286.0,77.0,196.0,1,2
2022-01-19,1,1,Kwon S.W.,4.63,54.0,1085.0,72.0,180.0,1,Shapovalov D.,1.2,14.0,2593.0,76.0,183.0,2,2
2022-01-19,1,1,Nadal R.,1.01,5.0,4875.0,85.0,185.0,2,Hanfmann Y.,18.96,126.0,583.0,84.0,193.0,1,1
2022-01-19,1,1,Lajovic D.,6.73,39.0,1346.0,78.0,183.0,1,Alcaraz C.,1.11,31.0,1609.0,72.0,185.0,1,2
2022-01-19,1,1,Kozlov S.,8.21,169.0,401.0,79.0,183.0,1,Berrettini M.,1.08,7.0,4568.0,95.0,196.0,1,2
2022-01-19,1,1,Garin C.,1.96,19.0,2375.0,85.0,185.0,1,Martinez P.,1.85,61.0,1001.0,76.0,185.0,1,1
2022-01-19,1,1,Vukic A.,1.5,144.0,477.0,85.0,188.0,1,Albot R.,2.59,124.0,587.0,69.0,175.0,1,2
2022-01-19,1,1,Mannarino A.,6.55,69.0,879.0,70.0,180.0,2,Hurkacz H.,1.11,11.0,3336.0,77.0,188.0,1,1
2022-01-19,1,1,Khachanov K.,1.25,30.0,1748.0,88.0,198.0,1,Bonzi B.,4.04,63.0,979.0,82.0,183.0,1,1
2022-01-19,1,1,Mcdonald M.,2.72,55.0,1084.0,73.0,178.0,1,Karatsev A.,1.46,15.0,2553.0,85.0,185.0,1,2
2022-01-19,1,1,Zverev A.,1.03,3.0,7970.0,86.0,198.0,1,Millman J.,13.45,89.0,788.0,79.0,183.0,1,1
2022-01-19,1,1,Monfils G.,1.22,20.0,2373.0,80.0,193.0,1,Bublik A.,4.35,37.0,1411.0,76.0,196.0,1,1
2022-01-20,1,1,Cilic M.,1.1,27.0,1840.0,89.0,198.0,1,Gombos N.,7.01,117.0,624.0,85.0,196.0,1,1
2022-01-20,1,1,O Connell C.,5.1,175.0,383.0,78.0,183.0,1,Schwartzman D.,1.17,13.0,2730.0,64.0,170.0,1,1
2022-01-20,1,1,Cressy M.,1.64,70.0,875.0,91.0,198.0,1,Machac T.,2.27,132.0,555.0,74.0,183.0,1,1
